carat,cut,color,clarity,depth,table,price
0.21,Premium,E,SI1,59.8,61,326
0.23,Good,E,VS1,56.9,65,327
0.29,Premium,I,VS2,62.4,58,334
0.31,Good,J,SI2,63.3,58,335
0.24,Very Good,J,VVS2,62.8,57,336
0.24,Very Good,I,VVS1,62.3,57,336
0.26,Very Good,H,SI1,61.9,55,337
0.22,Fair,E,VS2,65.1,61,337
0.23,Very Good,H,VS1,59.4,61,338
0.3,Good,J,SI1,64,55,339
0.22,Premium,F,SI1,60.4,61,342
0.2,Premium,E,SI2,60.2,62,345
0.32,Premium,E,I1,60.9,58,345
0.3,Good,J,SI1,63.4,54,351
0.3,Good,J,SI1,63.8,56,351
0.3,Very Good,J,SI1,62.7,59,351
0.3,Good,I,SI2,63.3,56,351
0.23,Very Good,E,VS2,63.8,55,352
0.23,Very Good,H,VS1,61,57,353
0.31,Very Good,J,SI1,59.4,62,353
0.31,Very Good,J,SI1,58.1,62,353
0.23,Very Good,G,VVS2,60.4,58,354
0.24,Premium,I,VS1,62.5,57,355
0.3,Very Good,J,VS2,62.2,57,357
0.23,Very Good,D,VS2,60.5,61,357
0.23,Very Good,F,VS1,60.9,57,357
0.23,Very Good,F,VS1,60,57,402
0.23,Very Good,F,VS1,59.8,57,402
0.23,Very Good,E,VS1,60.7,59,402
0.23,Very Good,E,VS1,59.5,58,402
0.23,Very Good,D,VS1,61.9,58,402
0.23,Good,F,VS1,58.2,59,402
0.23,Good,E,VS1,64.1,59,402
0.31,Good,H,SI1,64,54,402
0.26,Very Good,D,VS2,60.8,59,403
0.26,Good,D,VS2,65.2,56,403
0.26,Good,D,VS1,58.4,63,403
0.32,Good,H,SI2,63.1,56,403
0.29,Premium,F,SI1,62.4,58,403
0.32,Very Good,H,SI2,61.8,55,403
0.32,Good,H,SI2,63.8,56,403
0.25,Very Good,E,VS2,63.3,60,404
0.29,Very Good,H,SI2,60.7,60,404
0.24,Very Good,F,SI1,60.9,61,404
0.22,Premium,E,VS2,61.6,58,404
0.22,Premium,D,VS2,59.3,62,404
0.3,Premium,J,SI2,59.3,61,405
0.3,Very Good,I,SI1,62.6,57,405
0.3,Very Good,I,SI1,63,57,405
0.3,Good,I,SI1,63.2,55,405
0.3,Premium,D,SI1,62.6,59,552
0.42,Premium,I,SI2,61.5,59,552
0.31,Very Good,G,SI1,63.3,57,553
0.31,Premium,G,SI1,61.8,58,553
0.24,Premium,E,VVS1,60.7,58,553
0.24,Very Good,D,VVS1,61.5,60,553
0.3,Very Good,H,SI1,63.1,56,554
