displ,year,cyl,cty
1.8,1999,4,18
1.8,1999,4,21
2,2008,4,20
2,2008,4,21
2.8,1999,6,16
2.8,1999,6,18
3.1,2008,6,18
1.8,1999,4,18
1.8,1999,4,16
2,2008,4,20
2,2008,4,19
2.8,1999,6,15
2.8,1999,6,17
3.1,2008,6,17
3.1,2008,6,15
2.8,1999,6,15
3.1,2008,6,17
4.2,2008,8,16
5.3,2008,8,14
5.3,2008,8,11
5.3,2008,8,14
5.7,1999,8,13
6,2008,8,12
5.7,1999,8,16
5.7,1999,8,15
6.2,2008,8,16
6.2,2008,8,15
7,2008,8,15
5.3,2008,8,14
5.3,2008,8,11
5.7,1999,8,11
6.5,1999,8,14
2.4,1999,4,19
2.4,2008,4,22
3.1,1999,6,18
3.5,2008,6,18
3.6,2008,6,17
2.4,1999,4,18
3,1999,6,17
3.3,1999,6,16
3.3,1999,6,16
3.3,2008,6,17
3.3,2008,6,17
3.3,2008,6,11
3.8,1999,6,15
3.8,1999,6,15
3.8,2008,6,16
4,2008,6,16
3.7,2008,6,15
3.7,2008,6,14
3.9,1999,6,13
3.9,1999,6,14
4.7,2008,8,14
4.7,2008,8,14
4.7,2008,8,9
5.2,1999,8,11
5.2,1999,8,11
3.9,1999,6,13
4.7,2008,8,13
4.7,2008,8,9
4.7,2008,8,13
5.2,1999,8,11
5.7,2008,8,13
5.9,1999,8,11
4.7,2008,8,12
4.7,2008,8,9
4.7,2008,8,13
4.7,2008,8,13
4.7,2008,8,12
4.7,2008,8,9
5.2,1999,8,11
5.2,1999,8,11
5.7,2008,8,13
5.9,1999,8,11
4.6,1999,8,11
5.4,1999,8,11
5.4,2008,8,12
4,1999,6,14
4,1999,6,15
4,1999,6,14
4,2008,6,13
4.6,2008,8,13
5,1999,8,13
4.2,1999,6,14
4.2,1999,6,14
4.6,1999,8,13
4.6,1999,8,13
4.6,2008,8,13
5.4,1999,8,11
5.4,2008,8,13
3.8,1999,6,18
3.8,1999,6,18
4,2008,6,17
4,2008,6,16
4.6,1999,8,15
4.6,1999,8,15
4.6,2008,8,15
4.6,2008,8,15
5.4,2008,8,14
1.6,1999,4,28
1.6,1999,4,24
1.6,1999,4,25
1.6,1999,4,23
1.6,1999,4,24
1.8,2008,4,26
1.8,2008,4,25
1.8,2008,4,24
2,2008,4,21
2.4,1999,4,18
2.4,1999,4,18
2.4,2008,4,21
2.4,2008,4,21
2.5,1999,6,18
2.5,1999,6,18
3.3,2008,6,19
2,1999,4,19
2,1999,4,19
2,2008,4,20
2,2008,4,20
2.7,2008,6,17
2.7,2008,6,16
2.7,2008,6,17
3,2008,6,17
3.7,2008,6,15
4,1999,6,15
4.7,1999,8,14
4.7,2008,8,9
4.7,2008,8,14
5.7,2008,8,13
6.1,2008,8,11
4,1999,8,11
4.2,2008,8,12
4.4,2008,8,12
4.6,1999,8,11
5.4,1999,8,11
5.4,1999,8,11
5.4,2008,8,12
4,1999,6,14
4,2008,6,13
4.6,2008,8,13
5,1999,8,13
2.4,1999,4,21
2.4,1999,4,19
2.5,2008,4,23
2.5,2008,4,23
3.5,2008,6,19
3.5,2008,6,19
3,1999,6,18
3,1999,6,19
3.5,2008,6,19
3.3,1999,6,14
3.3,1999,6,15
4,2008,6,14
5.6,2008,8,12
3.1,1999,6,18
3.8,1999,6,16
3.8,1999,6,17
3.8,2008,6,18
5.3,2008,8,16
2.5,1999,4,18
2.5,1999,4,18
2.5,2008,4,20
2.5,2008,4,19
2.5,2008,4,20
2.5,2008,4,18
2.2,1999,4,21
2.2,1999,4,19
2.5,1999,4,19
2.5,1999,4,19
2.5,2008,4,20
2.5,2008,4,20
2.5,2008,4,19
2.5,2008,4,20
2.7,1999,4,15
2.7,1999,4,16
3.4,1999,6,15
3.4,1999,6,15
4,2008,6,16
4.7,2008,8,14
2.2,1999,4,21
2.2,1999,4,21
2.4,2008,4,21
2.4,2008,4,21
3,1999,6,18
3,1999,6,18
3.5,2008,6,19
2.2,1999,4,21
2.2,1999,4,21
2.4,2008,4,21
2.4,2008,4,22
3,1999,6,18
3,1999,6,18
3.3,2008,6,18
1.8,1999,4,24
1.8,1999,4,24
1.8,1999,4,26
1.8,2008,4,28
1.8,2008,4,26
4.7,1999,8,11
5.7,2008,8,13
2.7,1999,4,15
2.7,1999,4,16
2.7,2008,4,17
3.4,1999,6,15
3.4,1999,6,15
4,2008,6,15
4,2008,6,16
2,1999,4,21
2,1999,4,19
2,2008,4,21
2,2008,4,22
2.8,1999,6,17
1.9,1999,4,33
2,1999,4,21
2,1999,4,19
2,2008,4,22
2,2008,4,21
2.5,2008,5,21
2.5,2008,5,21
2.8,1999,6,16
2.8,1999,6,17
1.9,1999,4,35
1.9,1999,4,29
2,1999,4,21
2,1999,4,19
2.5,2008,5,20
2.5,2008,5,20
1.8,1999,4,21
1.8,1999,4,18
2,2008,4,19
2,2008,4,21
2.8,1999,6,16
2.8,1999,6,18
3.6,2008,6,17
