Rainfall,Sunshine,WindGustSpeed,WindSpeed,Humidity,Pressure,Cloud,Temp
3.6,9.7,39,17,36,1008.4,3,25.7
3.6,3.3,85,6,69,1007.2,7,20.2
39.8,9.1,54,24,56,1007,7,14.1
2.8,10.6,50,28,49,1018.5,7,15.4
0.2,8.4,43,26,47,1022.2,6,17.3
16.2,7.7,31,6,32,1020.7,1,21.7
0.2,12.5,41,15,35,1019.9,3,26
1.2,10.1,52,11,26,1013,5,28.6
0.6,13,39,17,25,1013.3,3,31.2
0.4,0,26,11,72,1008.9,8,18.3
25.8,0.6,28,13,79,1014.9,8,16.8
0.4,7.5,26,9,57,1019.2,5,22.8
0.2,2.3,39,17,55,1018.6,7,21.2
0.4,0.5,30,6,49,1013.3,7,23.2
22.6,0.2,41,20,90,1014.1,8,16.3
4.2,12,41,9,46,1009.5,2,25.2
0.2,4.7,50,35,60,1004.6,7,19.9
6.6,11.8,50,26,40,1006.3,2,25.1
4,8.8,39,13,42,1011.4,1,26.3
0.6,2.3,35,15,63,1017.4,6,16.4
5.4,0.9,31,7,86,1008.6,8,20
1.4,10.6,48,20,40,1016.8,4,20.8
3.4,2.3,30,13,74,1014.1,7,20.4
6.4,8.1,41,22,48,1008.3,7,28.2
11,5.9,76,30,62,996.8,3,19.6
17.4,10.2,39,20,49,1009.1,7,18.8
3.4,5.6,41,11,52,1019.1,3,21
14.4,13.2,28,13,44,1013.4,5,27.4
2,13.5,52,24,35,1001.8,3,31.8
4.8,11.6,46,28,42,1015,1,23.9
18.8,0,33,13,88,1006,8,18.6
12.2,8.1,50,28,71,1004,8,21.9
0.8,1.6,48,22,58,1012.1,7,18.6
5.2,3.6,39,13,49,1012.8,8,26.3
2.2,6.2,30,11,49,1017.1,7,22.9
1.8,0,33,13,76,1011.5,8,22.1
9,0.3,30,11,71,1007.8,8,21.5
1,8,52,24,41,997.5,7,26.5
16.2,5.6,41,20,58,1005,7,18.7
4.4,5.9,48,17,60,1006.8,5,22.6
11,0.4,30,15,73,1011,8,16.8
0.2,12.7,33,9,37,1015.1,1,22
1.8,3.8,50,7,56,1008.4,7,24
6.6,8.6,50,28,42,1002.3,5,27.4
10.4,12,48,17,34,1014.5,1,16.8
3,11.5,24,9,39,1020.7,7,24.9
0.2,11,44,28,23,1017.6,5,30.7
0.6,1.9,28,19,68,1015.4,7,21.1
6.4,0,43,20,93,1006.5,8,16.6
19.8,9.1,46,20,50,1008.4,4,17.4
2.6,9.7,63,33,40,1012.7,3,13.7
2,7.7,39,15,56,1013.8,2,19.1
5.2,9.3,31,20,40,1019.6,1,17.9
0.2,6.5,44,20,34,1006.7,7,20.2
7.2,5.6,57,22,60,1008.1,6,8.8
0.2,9.5,22,9,40,1019.6,1,13.2
1.8,4.3,35,15,69,1013.7,7,15.2
1,1.7,52,24,78,1005.9,7,7.3
0.8,8.8,41,26,53,1008.3,6,13.3
3.8,5.1,22,6,50,1023.1,4,17.9
5.2,8.5,22,13,55,1022.3,1,17.7
0.2,8.5,20,7,45,1029.6,1,17.3
0.8,0,20,11,86,1027.2,8,13.6
3.8,2.6,41,20,65,1025.7,7,13.3
6.2,0,31,0,94,1024.3,8,11.6
4.8,0.5,46,17,65,1022.1,7,13.7
0.2,8.5,43,24,48,1019.7,1,14.7
0.6,7.1,54,28,58,1014.1,2,11.1
4.8,0,26,7,86,1019.2,7,11.3
0.6,7.7,41,19,59,1021,6,12.1
2,5.6,78,33,56,1012.3,1,11.1
0.2,8.2,61,30,53,1014,1,12.3
0.8,0.2,35,13,96,1021.1,8,8.6
16.8,6.5,35,15,72,1019.6,6,7.4
1.6,7.7,59,31,66,1018.2,3,7.1
0.2,6.5,20,7,54,1022.7,7,9.9
0.2,1.9,17,9,62,1020.8,7,12.1
1.2,8.1,35,22,48,1014.9,3,10.7
0.2,0,41,6,87,1009,8,8.7
19.2,7.5,54,31,56,1010.3,3,11.2
0.2,5.9,33,19,50,1015.3,7,10.9
1.4,9.1,59,37,56,1014.9,4,9.6
1,0.7,65,28,82,1001.3,7,8.6
6.6,9.3,57,31,56,1014.9,1,10.5
4,8.3,48,22,48,1017.6,1,13.6
1.2,7.2,43,30,62,1019.1,2,11.3
0.4,4.7,50,24,68,1012.6,6,5.1
0.4,9.9,39,30,60,1016.6,1,8.3
4,2.4,59,15,85,1010.4,7,12.6
7.4,10.8,46,28,34,1021.7,1,14.3
0.2,0.6,35,17,61,1031.9,7,10.2
1,9.4,31,11,37,1018.2,1,15.3
9.8,6,67,30,43,1006,1,18.2
1.6,8,98,52,33,1001.5,6,18.5
3.4,11,65,31,33,1017.6,1,12.2
17.4,7.9,50,22,44,1017.8,1,14.3
7.6,4.9,33,19,65,1013.2,4,19.3
3,6.7,43,19,46,1013.6,1,19.8
8.2,11.8,57,28,45,1013.3,1,14.6
0.6,10.4,31,7,42,1019.7,4,18.4
0.2,12.1,52,31,20,1017.5,1,26.3
0.8,11.7,70,37,24,1023.1,5,14.3
