date,KOSPI200
20040503,112.84
20040504,112.92
20040506,108.97
20040507,109.38
20040510,102.94
20040511,102.73
20040512,106.05
20040513,102.14
20040514,99.11
20040517,94.05
20040518,96.09
20040519,100.92
20040520,99.66
20040521,102.13
20040524,103.68
20040525,101.64
20040527,104.09
20040528,105.82
20040531,104.14
20040601,105.74
20040602,104.06
20040603,99.51
20040604,100.95
20040607,105.02
20040608,104.73
20040609,102.59
20040610,100.58
20040611,96.39
20040614,94.9
20040615,96.78
20040616,96.84
20040617,98.02
20040618,95.74
20040621,96.8
20040622,96.48
20040623,95.56
20040624,98.85
20040625,101.08
20040628,99.85
20040629,100.81
20040630,101.85
20040701,100.8
20040702,97.75
20040705,97.91
20040706,98.19
20040707,98.46
20040708,95.78
20040709,96.51
20040712,96.45
20040713,97.11
20040714,95.09
20040715,94.64
20040716,95.6
20040719,97.11
20040720,95.29
20040721,97.51
20040722,96.08
20040723,95.38
20040726,95.22
20040727,95.66
20040728,96.55
20040729,94.59
20040730,95.27
20040802,93.19
20040803,94.21
20040804,94.59
20040805,96.31
20040806,94.84
20040809,96.08
20040810,96.72
20040811,97.23
20040812,99.05
20040813,100.15
20040816,99.72
20040817,98.97
20040818,99.48
20040819,101.18
20040820,100.86
20040823,100.92
20040824,101.5
20040825,102.87
20040826,103.25
20040827,103.38
20040830,103.07
20040831,102.89
20040901,104.69
20040902,105.66
20040903,104.84
20040906,105.52
20040907,104.97
20040908,104.44
20040909,105.39
20040910,107.32
20040913,109.56
20040914,109.27
20040915,109.27
20040916,110.2
20040917,109.32
20040920,110.38
20040921,110.42
20040922,107.53
20040923,106.94
20040924,107.33
20040930,107.69
20041001,109.42
20041004,114.02
20041005,114.04
20041006,114.44
20041007,114.17
20041008,113.82
20041011,113.82
20041012,110.47
20041013,110.42
20041014,109.17
20041015,108.42
20041018,109.24
20041019,110.24
20041020,106.93
20041021,105.78
20041022,106.8
20041025,104.13
20041026,104.98
20041027,104.63
20041028,107.77
20041029,107.99
20041101,108.17
20041102,109.67
20041103,111.58
20041104,110.3
20041105,111.52
20041108,109.34
20041109,109.04
20041110,111.19
20041111,111.24
20041112,113.41
20041115,114.09
20041116,113.3
20041117,114.61
20041118,113.33
20041119,112.07
20041122,109.83
20041123,111.18
20041124,112.74
20041125,112.59
20041126,110.68
20041129,111.62
20041130,113.4
20041201,113.09
20041202,114.06
20041203,113.96
20041206,112.37
20041207,111.01
20041208,112.16
20041209,110.88
20041210,108.57
20041213,108.36
20041214,109.38
20041215,111.87
20041216,112.51
20041217,112.63
20041220,113.45
20041221,113.51
20041222,113.66
20041223,112.54
20041224,113.15
20041227,113
20041228,113.25
20041229,113.84
20041230,115.25
20050103,115.36
20050104,114.77
20050105,114.65
20050106,112.94
20050107,112.71
20050110,113.27
20050111,114.66
20050112,114.09
20050113,115.01
20050114,117.82
20050117,119.91
20050118,119.5
20050119,118.9
20050120,118.02
20050121,119.4
20050124,119.83
20050125,118.91
20050126,120.51
20050127,120.16
20050128,119.65
20050131,121.06
20050201,120
20050202,119.74
20050203,120.64
20050204,121.3
20050207,123.2
20050211,122.84
20050214,124.94
20050215,125.48
20050216,125.85
20050217,125.93
20050218,127.43
20050221,128.09
20050222,126.74
20050223,125.53
20050224,127.81
20050225,129.13
20050228,130.85
20050302,130.14
20050303,130.61
20050304,130.61
20050307,130.11
20050308,129.21
20050309,130.26
20050310,128.76
20050311,131.97
20050314,131.47
20050315,127.95
20050316,128.17
20050317,126.68
20050318,126.82
20050321,126.84
20050322,126.87
20050323,125.16
20050324,123.8
20050325,125.07
20050328,126.72
20050329,124.13
20050330,123.49
20050331,124.78
20050401,126.88
20050404,127.22
20050406,127.85
20050407,127.92
20050408,128.44
20050411,127.59
20050412,127.24
20050413,127.28
20050414,123.29
20050415,122.41
20050418,119.76
20050419,120.5
20050420,121.05
20050421,121.31
20050422,121.36
20050425,122.08
20050426,121.92
20050427,119.96
20050428,118.36
20050429,117.58
20050502,118.46
20050503,117.89
20050504,119.95
20050506,121.26
20050509,120.48
20050510,120.4
20050511,119.02
20050512,118.69
20050513,118.87
20050516,119.65
20050517,119.51
20050518,120.08
20050519,123.04
20050520,123.02
20050523,122.87
20050524,122.91
20050525,121.37
20050526,121.7
20050527,123.89
20050530,124.64
20050531,124.84
20050601,124.9
20050602,125.04
20050603,125.7
20050607,124.79
20050608,125.62
20050609,127.22
20050610,127.68
20050613,127.65
20050614,126.9
20050615,129.27
20050616,129.27
20050617,129.33
20050620,128.17
20050621,127.66
20050622,129.24
20050623,130.39
20050624,129.08
20050627,127.45
20050628,127.92
20050629,128.41
20050630,129.43
20050701,130.59
20050704,130.95
20050705,130.54
20050706,130.65
20050707,131.72
20050708,131.28
20050711,133.88
20050712,134.26
20050713,135.25
20050714,136.98
20050715,136.48
20050718,136.78
20050719,138.66
20050720,138.57
20050721,138.62
20050722,138.37
20050725,140.55
20050726,140.53
20050727,140.73
20050728,142.38
20050729,143.32
20050801,143.96
20050802,144.3
20050803,144.21
20050804,143.52
20050805,140.7
20050808,140.49
20050809,142.11
20050810,142.7
20050811,145.35
20050812,146.04
20050816,144.3
20050817,143.87
20050818,141.16
20050819,140.68
20050822,144.4
20050823,144.27
20050824,141.27
20050825,141.75
20050826,140.36
20050829,137.42
20050830,138.68
20050831,140.09
20050901,143.13
20050902,144.3
20050905,144.06
20050906,145.21
20050907,147.95
20050908,148.41
20050909,149.34
20050912,150.13
20050913,150.29
20050914,152.03
20050915,151.99
20050916,152.55
20050920,154.69
20050921,155.34
20050922,155.71
20050923,152.39
20050926,156.39
20050927,156.52
20050928,158.88
20050929,159.06
20050930,157.55
20051004,160.43
20051005,158.1
20051006,154.65
20051007,154.4
20051010,157.82
20051011,160.06
20051012,156.33
20051013,152.85
20051014,152.48
20051017,150.85
20051018,152.26
20051019,148.11
20051020,149.41
20051021,152.22
20051024,152.27
20051025,151.76
20051026,151.45
20051027,149.88
20051028,146.55
20051031,148.84
20051101,152.98
20051102,155.6
20051103,156.89
20051104,157.28
20051107,156.75
20051108,157.72
20051109,157.87
20051110,158.69
20051111,161.81
20051114,162.02
20051115,161.49
20051116,163.24
20051117,163.38
20051118,163.74
20051121,163.1
20051122,159.68
20051123,164.47
20051124,165.56
20051125,165.51
20051128,165.52
20051129,163.7
20051130,165.95
20051201,166.97
20051202,167.56
20051205,168.23
20051206,169.24
20051207,170.21
20051208,170.13
20051209,169.16
20051212,171.35
20051213,171.65
20051214,171.15
20051215,171.56
20051216,169.45
20051219,171.91
20051220,172.05
20051221,173.95
20051222,173.89
20051223,175.11
20051226,176.27
20051227,177.2
20051228,176.16
20051229,177.43
20060102,178.29
20060103,178.81
20060104,179.91
20060105,178.82
20060106,180.87
20060109,180.3
20060110,178.98
20060111,178.67
20060112,179.65
20060113,181.71
20060116,182.39
20060117,178.27
20060118,173.81
20060119,174.93
20060120,170.6
20060123,168.04
20060124,171.79
20060125,173.52
20060126,174.71
20060127,178.64
20060131,180.65
20060201,178.07
20060202,177.92
20060203,172.67
20060206,173.66
20060207,172.39
20060208,169.44
20060209,170.93
20060210,172.68
20060213,170.61
20060214,171.65
20060215,168.31
20060216,169.8
20060217,172.4
20060220,174.28
20060221,174.04
20060222,173.26
20060223,176.18
